Gene Name,RIPA,SMA200P,SMA200CB,SMA300CB,ChloroSMA20,ChloroSMA40,ChloroSMA60,ChloroSMA80,NP40,AASTY645,AASTY650,AASTY1150,AASTY1145,AASTY80
RPS16,0.2503405396129352,0.420292388864465,0.4456102800605026,1,0.22308124836864182,0.296007511472091,0.4076301391685423,0.24880454858903442,0.7027609479105394,0.32501090455494347,0.2912812503544141,0.2467292490561759,0.3678707176963808,0.37038754354176767
CTSD,1,0.2368832644505501,0.23906071952936858,0.3727836823939798,0.4713655175226461,0.299010935607139,0.19424093311813573,0.8821614249664926,0.6077283431134245,0.3770199484413685,0.09596791974369485,0.32174431510444407,0.14284586771155192,0.45859124554140235
RPS27A;UBB;UBC,0.2640282397674727,0.49381739074976794,0.658654410861708,1,0.7692263573901044,0.7396202404746117,0.9263992073923746,0.9280056077444309,0.3448851985143038,0.5956583649053677,0.5545545755329127,0.716027405262794,0.5084363994581511,0.4381997325795943
CTNNA1,0.7847474865459141,0.7737029146425501,0.7450177844062746,0.42929935263025343,0.8427137458672889,0.8151175630254702,1,0.6695754274167126,0.6173742177091921,0.6489637967709564,0.7891544013673317,0.7042239094811729,0.7680254785860076,0.640831684486092
GANAB,0.5643337225046763,0.7957092604670128,0.5266637963152674,0.43053704902498263,0.7504621244392117,0.6804982253387614,0.5568795052223565,0.5989782790872727,0.7193427681345984,0.7869801245165171,0.8356094235992118,0.8845266735665076,1,0.635699089994364
HSP90AA1,0.3344932245912579,0.5414943645544728,0.4862071619139358,0.3430845764539791,0.5350281553321001,0.6986035189640516,0.5113947182516084,0.472236892896144,0.44630250836380986,1,0.8155294225162367,0.6927876478497775,0.7500798691518031,0.5602469128769384
CANX,0.5264447218929874,0.3949233914884552,0.678209279181845,0.28232238056665737,0.7399185196188772,0.7077097383724975,0.3795458983710908,1,0.8414002728741654,0.6216913413144771,0.2477611065173018,0.6505297251235846,0.447093572218132,0.6775164078457415
RPS15A,0.2709075529999944,0.7869803790182872,0.5598590030965827,1,0.8811674642930666,0.697028582830296,0.9266769771518291,0.5226997906231446,0.6751835141120857,0.5116034730690521,0.42704361000480284,0.721396314600418,0.973487435463486,0.7119818471042788
PRDX3,0.7736486712936625,0.07302956114343441,0.40112678909839433,0.4757054146844195,0.11799450159154061,0.1853152598531696,0.040500665299527366,1,0.4677090395793806,0.7901574928621493,0.3365632282972975,0.525962603820637,0.1312634276746404,0.47828406208229685
RPS11,0.2643011765139502,0.7567435643720919,0.4978396586320336,0.8422156358533417,0.4982740096225271,0.6581972908434791,1,0.40777491689452783,0.562326060824571,0.4445954173383962,0.7984623371340293,0.46393958761548715,0.8009774890934422,0.43424650614861576
CDC42,0.8878504410805172,0.8538741116183713,0.3164796600960856,0.818988988405185,0.7323203521705818,0.6473116739915477,0.4936408771444009,0.7124566661058853,0.7160164612663901,1,0.4438461271140303,0.9434953443293206,0.7537464935807846,0.7492284324857456
RPN2,0.7793399654367996,0.7897347110294419,0.5759506554292948,0.7507327442223979,0.7617273132432891,0.6627966250591615,0.2788410631395577,0.4245083685615333,0.8657807359940594,0.6685733106027285,0.390239026460609,0.8725089817177841,0.9729479334120835,1
VPS54,0.3130851554236753,0.627312686966499,0.3115602399817156,0.6000060279479966,0.2679520294719353,1,0.09573244031385349,0.3086645219894742,0.05927978769000823,0.4520805782198778,0.07217780083215826,0.15011693263934592,0.5938877526614371,0.1066186815258556
ERP29,1,0.7236905521584199,0.5256409505246203,0.4739571218011027,0.5813944582522343,0.47711297271118047,0.6615140768990577,0.6808899457030101,0.594584430275197,0.794554247164929,0.46670135422643866,0.602079484063526,0.719454879654994,0.5428775316345694
